sample,percentile,Ts_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
BL6-BALBc_HTxB,0.6799999999999999,1.0,3.0,-0.009772827778437259,116,3317
BL6-BALBc_HTxB,0.6799999999999999,1.0,4.0,-0.00889223894396455,116,3317
BL6-BALBc_HTxB,0.6799999999999999,1.0,5.0,-0.008365693945005104,116,3317
BL6-BALBc_HTxB,0.6699999999999999,1.0,0.0,-0.02048773050254385,116,3317
BL6-BALBc_HTxB,0.6699999999999999,1.0,1.0,-0.016341443955777676,116,3317
BL6-BALBc_HTxB,0.6699999999999999,1.0,2.0,-0.011617599400282319,116,3317
BL6-BALBc_HTxB,0.6699999999999999,1.0,3.0,-0.009772827778437259,116,3317
BL6-BALBc_HTxB,0.6699999999999999,1.0,4.0,-0.00889223894396455,116,3317
BL6-BALBc_HTxB,0.6699999999999999,1.0,5.0,-0.008365693945005104,116,3317
BL6-BALBc_HTxB,0.6599999999999999,0.0,0.0,-0.06049408872450605,76,2592
BL6-BALBc_HTxB,0.6599999999999999,0.0,1.0,-0.04102000428715252,76,2592
BL6-BALBc_HTxB,0.6599999999999999,0.0,2.0,-0.03462763221308731,76,2592
BL6-BALBc_HTxB,0.6599999999999999,0.0,3.0,-0.03218920899545876,76,2592
BL6-BALBc_HTxB,0.6599999999999999,0.0,4.0,-0.030569477912494758,76,2592
BL6-BALBc_HTxB,0.6599999999999999,0.0,5.0,-0.029425932492209844,76,2592
BL6-BALBc_HTxB,0.6499999999999999,0.0,0.0,-0.06049408872450605,76,2592
BL6-BALBc_HTxB,0.6499999999999999,0.0,1.0,-0.04102000428715252,76,2592
BL6-BALBc_HTxB,0.6499999999999999,0.0,2.0,-0.03462763221308731,76,2592
BL6-BALBc_HTxB,0.6499999999999999,0.0,3.0,-0.03218920899545876,76,2592
BL6-BALBc_HTxB,0.6499999999999999,0.0,4.0,-0.030569477912494758,76,2592
BL6-BALBc_HTxB,0.6499999999999999,0.0,5.0,-0.029425932492209844,76,2592
BL6-BALBc_HTxB,0.64,0.0,0.0,-0.06049408872450605,76,2592
BL6-BALBc_HTxB,0.64,0.0,1.0,-0.04102000428715252,76,2592
BL6-BALBc_HTxB,0.64,0.0,2.0,-0.03462763221308731,76,2592
BL6-BALBc_HTxB,0.64,0.0,3.0,-0.03218920899545876,76,2592
BL6-BALBc_HTxB,0.64,0.0,4.0,-0.030569477912494758,76,2592
BL6-BALBc_HTxB,0.64,0.0,5.0,-0.029425932492209844,76,2592
BL6-BALBc_HTxB,0.63,0.0,0.0,-0.06049408872450605,76,2592
BL6-BALBc_HTxB,0.63,0.0,1.0,-0.04102000428715252,76,2592
BL6-BALBc_HTxB,0.63,0.0,2.0,-0.03462763221308731,76,2592
BL6-BALBc_HTxB,0.63,0.0,3.0,-0.03218920899545876,76,2592
BL6-BALBc_HTxB,0.63,0.0,4.0,-0.030569477912494758,76,2592
BL6-BALBc_HTxB,0.63,0.0,5.0,-0.029425932492209844,76,2592
BL6-BALBc_HTxB,0.62,0.0,0.0,-0.06049408872450605,76,2592
BL6-BALBc_HTxB,0.62,0.0,1.0,-0.04102000428715252,76,2592
BL6-BALBc_HTxB,0.62,0.0,2.0,-0.03462763221308731,76,2592
BL6-BALBc_HTxB,0.62,0.0,3.0,-0.03218920899545876,76,2592
BL6-BALBc_HTxB,0.62,0.0,4.0,-0.030569477912494758,76,2592
BL6-BALBc_HTxB,0.62,0.0,5.0,-0.029425932492209844,76,2592
BL6-BALBc_HTxB,0.61,0.0,0.0,-0.06049408872450605,76,2592
BL6-BALBc_HTxB,0.61,0.0,1.0,-0.04102000428715252,76,2592
BL6-BALBc_HTxB,0.61,0.0,2.0,-0.03462763221308731,76,2592
BL6-BALBc_HTxB,0.61,0.0,3.0,-0.03218920899545876,76,2592
BL6-BALBc_HTxB,0.61,0.0,4.0,-0.030569477912494758,76,2592
BL6-BALBc_HTxB,0.61,0.0,5.0,-0.029425932492209844,76,2592
BL6-BALBc_HTxB,0.6,0.0,0.0,-0.06049408872450605,76,2592
BL6-BALBc_HTxB,0.6,0.0,1.0,-0.04102000428715252,76,2592
BL6-BALBc_HTxB,0.6,0.0,2.0,-0.03462763221308731,76,2592
BL6-BALBc_HTxB,0.6,0.0,3.0,-0.03218920899545876,76,2592
