sample,percentile,Ts_tcrbeta,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
D7A,0.79,6.0,5.0,0.062107450297634925,117,3657
D7A,0.785,6.0,0.0,0.09386662544103207,117,3657
D7A,0.785,6.0,1.0,0.07755011452433064,117,3657
D7A,0.785,6.0,2.0,0.06998126011428603,117,3657
D7A,0.785,6.0,3.0,0.06612702659990351,117,3657
D7A,0.785,6.0,4.0,0.06374465478461237,117,3657
D7A,0.785,6.0,5.0,0.062107450297634925,117,3657
D7A,0.78,6.0,0.0,0.09386662544103207,117,3657
D7A,0.78,6.0,1.0,0.07755011452433064,117,3657
D7A,0.78,6.0,2.0,0.06998126011428603,117,3657
D7A,0.78,6.0,3.0,0.06612702659990351,117,3657
D7A,0.78,6.0,4.0,0.06374465478461237,117,3657
D7A,0.78,6.0,5.0,0.062107450297634925,117,3657
D7A,0.775,6.0,0.0,0.09386662544103207,117,3657
D7A,0.775,6.0,1.0,0.07755011452433064,117,3657
D7A,0.775,6.0,2.0,0.06998126011428603,117,3657
D7A,0.775,6.0,3.0,0.06612702659990351,117,3657
D7A,0.775,6.0,4.0,0.06374465478461237,117,3657
D7A,0.775,6.0,5.0,0.062107450297634925,117,3657
D7A,0.77,6.0,0.0,0.09386662544103207,117,3657
D7A,0.77,6.0,1.0,0.07755011452433064,117,3657
D7A,0.77,6.0,2.0,0.06998126011428603,117,3657
D7A,0.77,6.0,3.0,0.06612702659990351,117,3657
D7A,0.77,6.0,4.0,0.06374465478461237,117,3657
D7A,0.77,6.0,5.0,0.062107450297634925,117,3657
D7A,0.765,6.0,0.0,0.09386662544103207,117,3657
D7A,0.765,6.0,1.0,0.07755011452433064,117,3657
D7A,0.765,6.0,2.0,0.06998126011428603,117,3657
D7A,0.765,6.0,3.0,0.06612702659990351,117,3657
D7A,0.765,6.0,4.0,0.06374465478461237,117,3657
D7A,0.765,6.0,5.0,0.062107450297634925,117,3657
D7A,0.76,6.0,0.0,0.09386662544103207,117,3657
D7A,0.76,6.0,1.0,0.07755011452433064,117,3657
D7A,0.76,6.0,2.0,0.06998126011428603,117,3657
D7A,0.76,6.0,3.0,0.06612702659990351,117,3657
D7A,0.76,6.0,4.0,0.06374465478461237,117,3657
D7A,0.76,6.0,5.0,0.062107450297634925,117,3657
D7A,0.755,7.0,0.0,0.110564231424291,114,3463
D7A,0.755,7.0,1.0,0.09212753904425877,114,3463
D7A,0.755,7.0,2.0,0.08321724572448194,114,3463
D7A,0.755,7.0,3.0,0.07863841627654629,114,3463
D7A,0.755,7.0,4.0,0.07580747723832595,114,3463
D7A,0.755,7.0,5.0,0.07386761135415536,114,3463
D7A,0.75,7.0,0.0,0.110564231424291,114,3463
D7A,0.75,7.0,1.0,0.09212753904425877,114,3463
