sample,percentile,thresh_syfpeithi,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
BL6-BALBc_HTxC,0.815,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.815,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.815,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.815,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.815,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.81,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.81,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.81,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.81,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.81,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.81,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.8049999999999999,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.8049999999999999,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.8049999999999999,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.8049999999999999,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.8049999999999999,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.8049999999999999,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.8,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.8,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.8,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.8,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.8,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.8,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.7949999999999999,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.7949999999999999,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.7949999999999999,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.7949999999999999,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.7949999999999999,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.7949999999999999,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.79,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.79,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.79,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.79,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.79,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.79,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.785,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.785,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.785,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.785,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.785,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.785,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.78,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.78,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.78,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.78,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.78,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.78,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.775,0.0,0.0,-0.03165354865227707,97,977
