sample,percentile,thresh_syfpeithi,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
BL6-BALBc_HTxB,0.63,0.0,2.0,-0.029582628917242688,80,1024
BL6-BALBc_HTxB,0.63,0.0,5.0,-0.02326004215603029,80,1024
BL6-BALBc_HTxB,0.625,0.0,0.0,-0.06081142669736794,80,1024
BL6-BALBc_HTxB,0.625,0.0,1.0,-0.03768665789545783,80,1024
BL6-BALBc_HTxB,0.625,0.0,2.0,-0.029582628917242688,80,1024
BL6-BALBc_HTxB,0.625,0.0,5.0,-0.02326004215603029,80,1024
BL6-BALBc_HTxB,0.62,0.0,0.0,-0.06081142669736794,80,1024
BL6-BALBc_HTxB,0.62,0.0,1.0,-0.03768665789545783,80,1024
BL6-BALBc_HTxB,0.62,0.0,2.0,-0.029582628917242688,80,1024
BL6-BALBc_HTxB,0.62,0.0,5.0,-0.02326004215603029,80,1024
BL6-BALBc_HTxB,0.615,0.0,0.0,-0.06081142669736794,80,1024
BL6-BALBc_HTxB,0.615,0.0,1.0,-0.03768665789545783,80,1024
BL6-BALBc_HTxB,0.615,0.0,2.0,-0.029582628917242688,80,1024
BL6-BALBc_HTxB,0.615,0.0,5.0,-0.02326004215603029,80,1024
BL6-BALBc_HTxB,0.61,0.0,0.0,-0.06081142669736794,80,1024
BL6-BALBc_HTxB,0.61,0.0,1.0,-0.03768665789545783,80,1024
BL6-BALBc_HTxB,0.61,0.0,2.0,-0.029582628917242688,80,1024
BL6-BALBc_HTxB,0.61,0.0,5.0,-0.02326004215603029,80,1024
BL6-BALBc_HTxB,0.605,0.0,0.0,-0.06081142669736794,80,1024
BL6-BALBc_HTxB,0.605,0.0,1.0,-0.03768665789545783,80,1024
BL6-BALBc_HTxB,0.605,0.0,2.0,-0.029582628917242688,80,1024
BL6-BALBc_HTxB,0.605,0.0,5.0,-0.02326004215603029,80,1024
BL6-BALBc_HTxB,0.6,0.0,0.0,-0.06081142669736794,80,1024
BL6-BALBc_HTxB,0.6,0.0,1.0,-0.03768665789545783,80,1024
BL6-BALBc_HTxB,0.6,0.0,2.0,-0.029582628917242688,80,1024
BL6-BALBc_HTxB,0.6,0.0,5.0,-0.02326004215603029,80,1024
BL6-BALBc_HTxB,0.595,0.0,0.0,-0.06081142669736794,80,1024
BL6-BALBc_HTxB,0.595,0.0,1.0,-0.03768665789545783,80,1024
BL6-BALBc_HTxB,0.595,0.0,2.0,-0.029582628917242688,80,1024
BL6-BALBc_HTxB,0.595,0.0,5.0,-0.02326004215603029,80,1024
BL6-BALBc_HTxB,0.59,0.0,0.0,-0.06081142669736794,80,1024
BL6-BALBc_HTxB,0.59,0.0,1.0,-0.03768665789545783,80,1024
