percentile,thresh_syfpeithi,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
0.5349999999999999,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.53,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.5249999999999999,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.52,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.515,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.51,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.505,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.5,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.495,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.49,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.485,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.48,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.475,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.47,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.46499999999999997,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.45999999999999996,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.45499999999999996,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.44999999999999996,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.44499999999999995,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.43999999999999995,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.43499999999999994,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.42999999999999994,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.42499999999999993,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.42000000000000004,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.41500000000000004,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.41000000000000003,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.405,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.4,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.395,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.39,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.385,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.38,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.375,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.37,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.365,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.36,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.355,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.35,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.345,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.33999999999999997,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.33499999999999996,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.32999999999999996,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.32499999999999996,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.31999999999999995,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.31499999999999995,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.30999999999999994,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.30499999999999994,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.29999999999999993,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.29500000000000004,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.29000000000000004,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.28500000000000003,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.28,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.275,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.27,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.265,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.26,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.255,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
