sample,percentile,thresh_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
BL6-B10BR_HTxA,0.6950000000000001,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.6950000000000001,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.6950000000000001,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.69,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.69,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.69,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.69,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.685,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.685,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.685,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.685,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.6799999999999999,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.6799999999999999,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.6799999999999999,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.6799999999999999,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.675,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.675,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.675,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.675,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.6699999999999999,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.6699999999999999,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.6699999999999999,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.6699999999999999,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.665,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.665,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.665,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.665,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.6599999999999999,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.6599999999999999,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.6599999999999999,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.6599999999999999,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.655,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.655,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.655,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.655,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.6499999999999999,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.6499999999999999,0.0,1.0,-0.00849048394429489,12,183
