sample,percentile,thresh_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
BL6-B10BR_HTxC,0.77,1.0,5.0,-0.0046097075146760485,196,6551
BL6-B10BR_HTxC,0.765,1.0,0.0,-0.011653987839783818,196,6551
BL6-B10BR_HTxC,0.765,1.0,1.0,-0.007161734522526731,196,6551
BL6-B10BR_HTxC,0.765,1.0,2.0,-0.005976137947936145,196,6551
BL6-B10BR_HTxC,0.765,1.0,5.0,-0.0046097075146760485,196,6551
BL6-B10BR_HTxC,0.76,1.0,0.0,-0.011653987839783818,196,6551
BL6-B10BR_HTxC,0.76,1.0,1.0,-0.007161734522526731,196,6551
BL6-B10BR_HTxC,0.76,1.0,2.0,-0.005976137947936145,196,6551
BL6-B10BR_HTxC,0.76,1.0,5.0,-0.0046097075146760485,196,6551
BL6-B10BR_HTxC,0.755,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.755,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.755,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.755,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.75,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.75,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.75,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.75,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.745,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.745,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.745,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.745,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.74,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.74,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.74,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.74,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.735,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.735,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.735,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.735,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.73,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.73,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.73,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.73,0.0,5.0,-0.004286335739651769,176,5320
