sample,percentile,Ts_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
D7ABC_combined,0.5700000000000001,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.5700000000000001,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.5700000000000001,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.5700000000000001,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.5700000000000001,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.56,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.56,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.56,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.56,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.56,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.56,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.55,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.55,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.55,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.55,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.55,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.55,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.54,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.54,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.54,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.54,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.54,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.54,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.53,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.53,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.53,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.53,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.53,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.53,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.52,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.52,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.52,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.52,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.52,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.52,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.51,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.51,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.51,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.51,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.51,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.51,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.5,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.5,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.5,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.5,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.5,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.5,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.49,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.49,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.49,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.49,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.49,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.49,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.48,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.48,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.48,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.48,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.48,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.48,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.47,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.47,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.47,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.47,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.47,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.47,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.45999999999999996,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.45999999999999996,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.45999999999999996,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.45999999999999996,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.45999999999999996,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.45999999999999996,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.44999999999999996,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.44999999999999996,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.44999999999999996,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.44999999999999996,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.44999999999999996,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.44999999999999996,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.43999999999999995,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.43999999999999995,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.43999999999999995,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.43999999999999995,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.43999999999999995,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.43999999999999995,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.42999999999999994,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.42999999999999994,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.42999999999999994,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.42999999999999994,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.42999999999999994,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.42999999999999994,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.42000000000000004,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.42000000000000004,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.42000000000000004,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.42000000000000004,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.42000000000000004,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.42000000000000004,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.41000000000000003,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.41000000000000003,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.41000000000000003,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.41000000000000003,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.41000000000000003,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.41000000000000003,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.4,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.4,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.4,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.4,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.4,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.4,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.39,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.39,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.39,0.0,2.0,-0.11561145285355158,355,11667
